Scenario,Year,CO2 emissions
SSP1 - 1.9,2005,33166074220
SSP1 - 1.9,2010,35488828780
SSP1 - 1.9,2020,33208799480
SSP1 - 1.9,2030,17967968260
SSP1 - 1.9,2040,6413946208
SSP1 - 1.9,2050,968036255
SSP1 - 1.9,2060,-1649998545
SSP1 - 1.9,2070,-4136923829
SSP1 - 1.9,2080,-7370205445
SSP1 - 1.9,2090,-10567707520
SSP1 - 1.9,2100,-14340424640
SSP1 - 2.6,2005,33166074220
SSP1 - 2.6,2010,35488821620
SSP1 - 2.6,2020,38389781580
SSP1 - 2.6,2030,33930925130
SSP1 - 2.6,2040,25904736820
SSP1 - 2.6,2050,17732934570
SSP1 - 2.6,2060,10565807940
SSP1 - 2.6,2070,4785242147
SSP1 - 2.6,2080,-2921840088
SSP1 - 2.6,2090,-8098321208
SSP1 - 2.6,2100,-8347350180
SSP1 - 3.4,2005,33166074220
SSP1 - 3.4,2010,35488818040
SSP1 - 3.4,2020,39638793620
SSP1 - 3.4,2030,39351400720
SSP1 - 3.4,2040,37443119140
SSP1 - 3.4,2050,32947266600
SSP1 - 3.4,2060,27955583340
SSP1 - 3.4,2070,19813280930
SSP1 - 3.4,2080,9123370281
SSP1 - 3.4,2090,-2275437907
SSP1 - 3.4,2100,-6615458456
SSP1 - 4.5,2005,33166074220
SSP1 - 4.5,2010,35488818040
SSP1 - 4.5,2020,39860114910
SSP1 - 4.5,2030,40958095380
SSP1 - 4.5,2040,41498599290
SSP1 - 4.5,2050,40020968430
SSP1 - 4.5,2060,37734730150
SSP1 - 4.5,2070,32323002280
SSP1 - 4.5,2080,24455647950
SSP1 - 4.5,2090,17307671060
SSP1 - 4.5,2100,11079046390
SSP1 - Baseline,2005,33166074220
SSP1 - Baseline,2010,35488818040
SSP1 - Baseline,2020,40069003910
SSP1 - Baseline,2030,42653234050
SSP1 - Baseline,2040,43778496100
SSP1 - Baseline,2050,42454757820
SSP1 - Baseline,2060,41601928390
SSP1 - Baseline,2070,39217531580
SSP1 - Baseline,2080,33392293950
SSP1 - Baseline,2090,28618413900
SSP1 - Baseline,2100,24612913580
SSP2 - 1.9,2005,37767241830
SSP2 - 1.9,2010,40313502030
SSP2 - 1.9,2020,40931321740
SSP2 - 1.9,2030,23633128530
SSP2 - 1.9,2040,11524129400
SSP2 - 1.9,2050,3778922018
SSP2 - 1.9,2060,-1510684608
SSP2 - 1.9,2070,-6540368386
SSP2 - 1.9,2080,-10608864180
SSP2 - 1.9,2090,-12410880580
SSP2 - 1.9,2100,-13048889880
SSP2 - 2.6,2005,37770820260
SSP2 - 2.6,2010,40294322570
SSP2 - 2.6,2020,40656969190
SSP2 - 2.6,2030,34541602380
SSP2 - 2.6,2040,26305611870
SSP2 - 2.6,2050,16330601410
SSP2 - 2.6,2060,9247853483
SSP2 - 2.6,2070,2010280498
SSP2 - 2.6,2080,-4045766822
SSP2 - 2.6,2090,-6495753010
SSP2 - 2.6,2100,-8357277098
SSP2 - 3.4,2005,37770833690
SSP2 - 3.4,2010,40294283120
SSP2 - 3.4,2020,41685860990
SSP2 - 3.4,2030,42031556660
SSP2 - 3.4,2040,38219667350
SSP2 - 3.4,2050,32611938560
SSP2 - 3.4,2060,24302660540
SSP2 - 3.4,2070,15423403940
SSP2 - 3.4,2080,7974427459
SSP2 - 3.4,2090,1860016865
SSP2 - 3.4,2100,-1418092488
SSP2 - 4.5,2005,37770827990
SSP2 - 4.5,2010,40294293820
SSP2 - 4.5,2020,42284928730
SSP2 - 4.5,2030,44385654470
SSP2 - 4.5,2040,44491570780
SSP2 - 4.5,2050,42832156140
SSP2 - 4.5,2060,39042389740
SSP2 - 4.5,2070,34193217950
SSP2 - 4.5,2080,25823818090
SSP2 - 4.5,2090,15468528590
SSP2 - 4.5,2100,9115046702
SSP2 - 6.0,2005,37770773340
SSP2 - 6.0,2010,40294276410
SSP2 - 6.0,2020,42392228060
SSP2 - 6.0,2030,46125215530
SSP2 - 6.0,2040,49544828530
SSP2 - 6.0,2050,52585738920
SSP2 - 6.0,2060,54663549370
SSP2 - 6.0,2070,55537153420
SSP2 - 6.0,2080,55974066830
SSP2 - 6.0,2090,56218816630
SSP2 - 6.0,2100,55426330740
SSP2 - Baseline,2005,37768994360
SSP2 - Baseline,2010,40294638280
SSP2 - Baseline,2020,42262425250
SSP2 - Baseline,2030,46727550650
SSP2 - Baseline,2040,51606451500
SSP2 - Baseline,2050,56651629190
SSP2 - Baseline,2060,61402269010
SSP2 - Baseline,2070,65996979000
SSP2 - Baseline,2080,74133629280
SSP2 - Baseline,2090,81028376880
SSP2 - Baseline,2100,85684204390
SSP3 - 3.4,2005,34373934500
SSP3 - 3.4,2010,39398615600
SSP3 - 3.4,2020,46637736200
SSP3 - 3.4,2030,48292181400
SSP3 - 3.4,2040,32552846300
SSP3 - 3.4,2050,22930895200
SSP3 - 3.4,2060,16754039300
SSP3 - 3.4,2070,9494704600
SSP3 - 3.4,2080,3925184500
SSP3 - 3.4,2090,-713415000
SSP3 - 3.4,2100,-3861942700
SSP3 - 4.5,2005,34373934500
SSP3 - 4.5,2010,39398615600
SSP3 - 4.5,2020,46637736200
SSP3 - 4.5,2030,50589140800
SSP3 - 4.5,2040,43026225700
SSP3 - 4.5,2050,36561864000
SSP3 - 4.5,2060,25470368300
SSP3 - 4.5,2070,19713865200
SSP3 - 4.5,2080,15958927700
SSP3 - 4.5,2090,11400028500
SSP3 - 4.5,2100,6401836300
SSP3 - 6.0,2005,34373934500
SSP3 - 6.0,2010,39398615600
SSP3 - 6.0,2020,46637736200
SSP3 - 6.0,2030,50805267700
SSP3 - 6.0,2040,48074469800
SSP3 - 6.0,2050,46888112200
SSP3 - 6.0,2060,48048435800
SSP3 - 6.0,2070,43526677200
SSP3 - 6.0,2080,37554195400
SSP3 - 6.0,2090,33712190900
SSP3 - 6.0,2100,31248202100
SSP3 - Baseline,2005,34373934500
SSP3 - Baseline,2010,39560752300
SSP3 - Baseline,2020,48502706900
SSP3 - Baseline,2030,55000886500
SSP3 - Baseline,2040,59877305400
SSP3 - Baseline,2050,64001363000
SSP3 - Baseline,2060,67962295200
SSP3 - Baseline,2070,71792665700
SSP3 - Baseline,2080,75571458400
SSP3 - Baseline,2090,80137183400
SSP3 - Baseline,2100,85214965500
SSP4 - 2.6,2005,
SSP4 - 2.6,2010,35775762530
SSP4 - 2.6,2020,40048785360
SSP4 - 2.6,2030,23821810490
SSP4 - 2.6,2040,16324223230
SSP4 - 2.6,2050,11881383240
SSP4 - 2.6,2060,6666028153
SSP4 - 2.6,2070,-123121448.9
SSP4 - 2.6,2080,-10622955960
SSP4 - 2.6,2090,-19091439440
SSP4 - 2.6,2100,-27544504870
SSP4 - 3.4,2005,
SSP4 - 3.4,2010,35775762490
SSP4 - 3.4,2020,40048796730
SSP4 - 3.4,2030,35021114670
SSP4 - 3.4,2040,28099447300
SSP4 - 3.4,2050,19939745670
SSP4 - 3.4,2060,14798745000
SSP4 - 3.4,2070,10246934590
SSP4 - 3.4,2080,2773520564
SSP4 - 3.4,2090,-7132041459
SSP4 - 3.4,2100,-15962104440
SSP4 - 4.5,2005,
SSP4 - 4.5,2010,35775762450
SSP4 - 4.5,2020,40048795810
SSP4 - 4.5,2030,39451086240
SSP4 - 4.5,2040,36566084270
SSP4 - 4.5,2050,29034578190
SSP4 - 4.5,2060,21480445160
SSP4 - 4.5,2070,15715357360
SSP4 - 4.5,2080,10931517500
SSP4 - 4.5,2090,9782592244
SSP4 - 4.5,2100,7694019169
SSP4 - 6.0,2005,
SSP4 - 6.0,2010,35775762450
SSP4 - 6.0,2020,40048795650
SSP4 - 6.0,2030,46120778520
SSP4 - 6.0,2040,48994885630
SSP4 - 6.0,2050,49054691350
SSP4 - 6.0,2060,47612523330
SSP4 - 6.0,2070,44591015670
SSP4 - 6.0,2080,36805763550
SSP4 - 6.0,2090,28564776990
SSP4 - 6.0,2100,20569327740
SSP4 - Baseline,2005,31887169360
SSP4 - Baseline,2010,35775774720
SSP4 - Baseline,2020,41636027050
SSP4 - Baseline,2030,49069570240
SSP4 - Baseline,2040,53846928810
SSP4 - Baseline,2050,55664437400
SSP4 - Baseline,2060,56953976660
SSP4 - Baseline,2070,55898208470
SSP4 - Baseline,2080,51172922990
SSP4 - Baseline,2090,47532718760
SSP4 - Baseline,2100,44784721730
SSP5 - 1.9,2005,35280000000
SSP5 - 1.9,2010,36370000000
SSP5 - 1.9,2020,39700000000
SSP5 - 1.9,2030,37770000000
SSP5 - 1.9,2040,22140000000
SSP5 - 1.9,2050,1254000000
SSP5 - 1.9,2060,-12840000000
SSP5 - 1.9,2070,-16250000000
SSP5 - 1.9,2080,-17930000000
SSP5 - 1.9,2090,-19550000000
SSP5 - 1.9,2100,-21310000000
SSP5 - 2.6,2005,35229942500
SSP5 - 2.6,2010,36335005000
SSP5 - 2.6,2020,39561252300
SSP5 - 2.6,2030,43164648300
SSP5 - 2.6,2040,38019976700
SSP5 - 2.6,2050,24985273800
SSP5 - 2.6,2060,7483276800
SSP5 - 2.6,2070,-3988329600
SSP5 - 2.6,2080,-11349672500
SSP5 - 2.6,2090,-16493755900
SSP5 - 2.6,2100,-18976585200
SSP5 - 3.4,2005,35229942500
SSP5 - 3.4,2010,36335005000
SSP5 - 3.4,2020,39549850200
SSP5 - 3.4,2030,44473965000
SSP5 - 3.4,2040,43522287500
SSP5 - 3.4,2050,37420938200
SSP5 - 3.4,2060,28454157200
SSP5 - 3.4,2070,15509429100
SSP5 - 3.4,2080,2748193000
SSP5 - 3.4,2090,-8535276800
SSP5 - 3.4,2100,-13600102400
SSP5 - 4.5,2005,35229942500
SSP5 - 4.5,2010,36335005000
SSP5 - 4.5,2020,39542470000
SSP5 - 4.5,2030,44934095600
SSP5 - 4.5,2040,46002393100
SSP5 - 4.5,2050,43224373000
SSP5 - 4.5,2060,37171389900
SSP5 - 4.5,2070,29477403200
SSP5 - 4.5,2080,23649949400
SSP5 - 4.5,2090,17166311100
SSP5 - 4.5,2100,15860667200
SSP5 - 6.0,2005,35229942500
SSP5 - 6.0,2010,36335005000
SSP5 - 6.0,2020,39560359500
SSP5 - 6.0,2030,47835990100
SSP5 - 6.0,2040,54512741600
SSP5 - 6.0,2050,58172971300
SSP5 - 6.0,2060,58939778700
SSP5 - 6.0,2070,55299005200
SSP5 - 6.0,2080,50540137300
SSP5 - 6.0,2090,44186311100
SSP5 - 6.0,2100,40968865200
SSP5 - Baseline,2005,35279640500
SSP5 - Baseline,2010,36371124600
SSP5 - Baseline,2020,44610389300
SSP5 - Baseline,2030,56726452000
SSP5 - Baseline,2040,69861617000
SSP5 - Baseline,2050,84436466100
SSP5 - Baseline,2060,1.01302E+11
SSP5 - Baseline,2070,1.175E+11
SSP5 - Baseline,2080,1.29499E+11
SSP5 - Baseline,2090,1.30398E+11
SSP5 - Baseline,2100,1.26098E+11
